ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,allApartments,39,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:logged_in_user_can_get_all_apartment()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,deleteApartment,89,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:admin_can_delete_a_date()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,deleteApartment,90,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:admin_can_delete_a_date()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,getById,50,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:test_that_logged_in_user_can_get_by_id_when_the_id_exists()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$deleteApartment$1,87,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:admin_tries_to_delete_non_existant_apartment_and_gets_right_error_message()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$getById$0,48,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:test_that_logged_in_user_can_get_by_id_when_the_id_does_not_exist()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.returns.NullReturnValsMutator,lambda$updateCommons$2,101,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:admin_cannot_edit_apartment_that_does_not_exist()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postApartment,68,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:an_admin_user_can_post_a_new_apartment()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postApartment,69,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:an_admin_user_can_post_a_new_apartment()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postApartment,70,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:an_admin_user_can_post_a_new_apartment()]
ApartmentController.java,edu.ucsb.cs156.example.controllers.ApartmentController,org.pitest.mutationtest.engine.gregor.mutators.VoidMethodCallMutator,postApartment,71,KILLED,edu.ucsb.cs156.example.controllers.ApartmentControllerTests.[engine:junit-jupiter]/[class:edu.ucsb.cs156.example.controllers.ApartmentControllerTests]/[method:an_admin_user_can_post_a_new_apartment()]
